countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eritrea,,,,,,,,,,1913920,2025272,2128465,2152146,2180424,2212783,2247036,2312083,2392981,2493905,2598288,2661217,2703500,2743228,2816331,2887888,2945185,2998493,3036999,3074366,3095169,3105554,3124699,3150351,3192763,3240195,3291277,3350184
Estonia,1525281,1535594,1547259,1559099,1567590,1570310,1565380,1540213,1504344,1475716,1452776,1434655,1421494,1411206,1403579,1397001,1388174,1379438,1370849,1362682,1354847,1346884,1340709,1337078,1334528,1331450,1327366,1322616,1317921,1314456,1314581,1315850,1317432,1321971,1326821,1329674,1331750
Eswatini,88,88,88,88,88,88,88,88,88,88,88,88,88,88,1030785,1041428,1051066,1059456,1066706,1073168,1079021,1084443,1090712,1098098,1105157,1111650,1117845,1123869,1129999,1136305,1142823,1149516,1158197,1168931,1179885,1192733,1206599
Ethiopia,39842135,41037658,42460039,44150832,45879686,47609762,49717202,51853754,53708892,55611512,57537340,59467640,61404542,63363523,65374562,67411495,69487768,71635520,73832663,76077212,78367475,80703494,83103219,85543671,88007639,90538520,93149977,95798770,98438750,101115615,103867140,106718161,109666482,112664155,115737385,118917671,122138590
Falkland Islands,2259,2261,2280,2308,2339,2368,2417,2503,2596,2687,2789,2871,2929,2995,3055,3119,3167,3193,3212,3230,3242,3254,3249,3244,3233,3218,3205,3223,3291,3362,3432,3499,3541,3549,3541,3537,3524
Faroe Islands,45599,46028,46486,46980,47536,47524,46839,46043,45159,44194,43863,44203,44567,44920,45242,45687,46262,46852,47447,48040,48386,48454,48498,48528,48512,48189,47957,48112,48296,48515,48916,49554,50267,51061,51868,52615,53324
Fiji,723767,739319,750548,758707,766331,773326,779666,785350,790379,794780,798751,803789,812145,822258,831835,840913,849606,858057,866298,874366,882384,890370,897843,903403,907247,910426,912991,914919,916358,917589,918583,919167,918762,917184,914904,914970,916717
Finland,4902263,4918255,4932259,4946629,4964527,4986574,5013889,5042147,5066592,5088454,5107920,5124716,5139926,5153548,5165515,5176198,5187973,5200549,5212955,5228144,5246083,5266247,5288716,5313381,5338855,5363347,5388236,5413978,5439058,5461686,5479718,5495469,5508399,5515732,5521755,5529617,5541068
France,55467154,55752833,56048365,56361846,56685081,56990239,57271563,57554865,57801260,57999868,58192206,58380637,58568662,58778817,59084208,59483716,59905130,60327247,60741121,61175243,61625030,62049831,62432438,62780187,63106461,63417366,63733777,64058465,64387736,64692495,64916336,65086852,65284775,65519539,65729460,65905273,66083547
French Guiana,86116,91171,96427,101883,107579,112701,116987,121257,125659,130130,134642,139180,143737,148390,153752,160632,168543,176718,185099,193656,202451,210977,219123,226106,230715,234577,239525,245784,253249,260562,266377,271278,276158,280971,285576,289063,293023
French Polynesia,181004,185684,190462,195209,199650,203781,207753,211569,215232,218745,222128,225499,229133,232898,236606,240346,244107,247784,251651,255664,259518,263234,266449,268390,269496,270589,271732,273093,274737,276388,277878,279180,280096,279824,279039,279219,279807
Germany,77863423,77923807,78062321,78385993,79007063,79707964,80303189,80934901,81486770,81773612,82019890,82263195,82389631,82011933,81678279,81797255,81933883,82068328,82111619,82092706,82046731,81701971,81298546,81110781,80935275,80830917,80857877,80916393,81041580,81376078,82077546,82760100,83104012,83368506,83559185,83628711,83697082
Greece,10037038,10088762,10134530,10177008,10218039,10258492,10306643,10359894,10412749,10466265,10519233,10570081,10622327,10675412,10727952,10782638,10843165,10890288,10918466,10947370,10981340,11016108,11045737,11076873,11108069,11124665,11108841,11048294,10967535,10893169,10820901,10775506,10753532,10730845,10718580,10699370,10579561
Greenland,53235,53759,54280,54820,55332,55649,55740,55769,55780,55766,55857,56021,56115,56174,56147,56228,56431,56617,56782,56926,56969,56904,56806,56684,56548,56634,56853,56797,56532,56196,56048,56082,56093,56099,56108,56105,56065
Grenada,96124,96808,97537,98323,99132,99974,100807,101618,102398,103151,103889,104598,105309,106023,106743,107466,107998,108413,108896,109338,109743,110148,110530,110911,111266,111601,112095,112791,113498,114148,114691,115148,115449,115703,115995,116353,116695
Guam,124132,126980,129867,132816,135813,138623,141092,143401,145672,147881,150065,152179,154225,156243,158298,160078,161340,162325,163146,163816,164372,164848,165278,165704,166188,166533,166554,166347,165978,165493,164914,164241,163503,162691,161821,162167,163741
